url,title,date,summary
https://www.detik.com/jabar/wisata/d-6949674/muncul-dua-wajah-berbeda-saat-waduk-situ-gede-tasik-surut,Muncul Dua 'Wajah' Berbeda Saat Waduk Situ Gede Tasik Surut,2023-09-26 08:00:00,"Surutnya debit air di danau Situ Gede, Kota Tasikmalaya menimbulkan dua sisi yang berbeda."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6949717/aksi-pencuri-santai-tenggak-minuman-sambil-curi-komputer-sekolah,Aksi Pencuri Santai Tenggak Minuman Sambil Curi Komputer Sekolah,2023-09-25 16:45:00,Aksi pencurian di SMKN Sukaresik Kabupaten Tasikmalaya terekam kamera CCTV. Pelaku mencuri sambil minum minuman dingin dari kantin sekolah.
https://www.detik.com/jabar/hukum-dan-kriminal/d-6947842/hilangnya-nyawa-perempuan-muda-di-tasik-gegara-open-bo,Hilangnya Nyawa Perempuan Muda di Tasik gegara Open BO,2023-09-24 15:30:00,Polisi berhasil mengungkap kasus kematian perempuan muda di Tasikmalaya yang ditemukan tewas di kamar kos.
https://www.detik.com/jabar/berita/d-6947637/pemotor-berpakaian-hitam-tewas-tergeletak-di-tepi-jalan-tasikmalaya,Pemotor Berpakaian Hitam Tewas Tergeletak di Tepi Jalan Tasikmalaya,2023-09-24 09:41:00,Seorang pengendara sepeda motor ditemukan meninggal dunia di tepi jalan. Diduga pria tersebut mengalami kecelakaan lalu lintas tunggal.
https://www.detik.com/jabar/berita/d-6945787/ledakan-hebat-guncangkan-bumi-usai-pelantikan-bupati-tasikmalaya,Ledakan Hebat Guncangkan Bumi Usai Pelantikan Bupati Tasikmalaya,2023-09-24 07:30:00,Ledakan dahsyat terjadi setelah pelantikan Kolonel Inf. A Benyamin sebagai Bupati Tasikmalaya. Sampai-sampai mengguncangkan bumi yang dipijak.
https://www.detik.com/edu/detikpedia/d-6947003/contoh-soal-latihan-uts-ips-kelas-7-kurikulum-merdeka,Contoh Soal Latihan UTS IPS Kelas 7 Kurikulum Merdeka,2023-09-24 07:00:00,20 Contoh soal untuk latihan menjelang UTS bagi siswa SMP kelas 7 menggunakan kurikulum merdeka. Cek di sini.
https://www.detik.com/jabar/bisnis/d-6947123/jalur-penerbangan-tasikmalaya-jakarta-kembali-dibuka,Jalur Penerbangan Tasikmalaya-Jakarta Kembali Dibuka,2023-09-24 00:05:00,Pemerintah Kota Tasikmalaya melakukan reaktivasi penerbangan Tasikmalaya-Jakarta mulai 2 Oktober 2023 mendatang.
https://www.detik.com/jabar/berita/d-6946789/detik-detik-kecelakaan-maut-mobil-pikap-di-bkr-bandung,Detik-detik Kecelakaan Maut Mobil Pikap di BKR Bandung,2023-09-23 14:55:00,"Polisi mengungkap mobil pikap yang dikendarai Jiman (50) melaju kencang sebelum menabrak tiga kendaraan yang berhenti di lampu merah Jl BKR, Kota Bandung."
https://www.detik.com/jabar/berita/d-6943739/jabar-hari-ini-sekeluarga-idap-parkinson-hingga-panji-gumilang-mau-tobat,Jabar Hari Ini: Sekeluarga Idap Parkinson hingga Panji Gumilang Mau Tobat,2023-09-21 22:10:00,Beragam peristiwa terjadi di Jawa Barat (Jabar) hari ini. Mulai dari kabar Panji Gumilang yang ingin bertobat hingga satu keluarga di Cianjur idap parkinson.
https://news.detik.com/berita/d-6943491/kunjungi-bazar-kreasi-bhayangkari-kapolri-dikalungi-selendang-kaltim,"Kunjungi Bazar Kreasi Bhayangkari, Kapolri Dikalungi Selendang Kaltim",2023-09-21 16:42:00,Kapolri Jenderal Listyo Sigit Purnomo mengunjungi Bazar Kreasi Bhayangkari Nusantara 2023 di Jakarta Convention Center (JCC).
https://www.detik.com/sulsel/hukum-dan-kriminal/d-6943047/tragedi-open-bo-berujung-maut-di-tasikmalaya,Tragedi Open BO Berujung Maut di Tasikmalaya,2023-09-21 16:00:00,Wanita berinsial SAR (16) meregang nyawa di tangan pria berinisial RM (29) di kamar kosnya di Kota Tasikmalaya. Pembunuhan diduga dipicu masalah open BO.
https://www.detik.com/jabar/hukum-dan-kriminal/d-6943246/celurit-maut-yang-tewaskan-pemuda-tasikmalaya,Celurit Maut yang Tewaskan Pemuda Tasikmalaya,2023-09-21 15:45:00,Seorang pemuda dihabisi pemuda lainnya di Tasikmalaya menggunakan celurit. Hal itu gegara saling tatap yang berujung kalap.
https://www.detik.com/jabar/budaya/d-6942541/promotor-pastikan-konser-dewa-19-di-tasikmalaya-tetap-digelar,Promotor Pastikan Konser Dewa 19 di Tasikmalaya Tetap Digelar,2023-09-21 14:00:00,"Penyelenggara konser Dewa 19 di Lanud Wiriadinata Tasikmalaya pada 21 Oktober 2023 mendatang, memastikan acara tersebut tetap berjalan sesuai rencana."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6942097/tatapan-mata-yang-hilangkan-nyawa-di-tasikmalaya,Tatapan Mata yang Hilangkan Nyawa di Tasikmalaya,2023-09-21 13:00:00,"Jika pandangan pertama sering dikaitkan dengan rasa cinta, kedua laki-laki di Tasikmalaya ini justru memendam amarah pada pandangan pertama."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6942006/perkara-open-bo-berujung-pembunuhan-gadis-muda-tasikmalaya,Perkara Open BO Berujung Pembunuhan Gadis Muda Tasikmalaya,2023-09-21 11:00:00,"RM (29) nekat membunuh SAR (16), perempuan muda di Tasikmalaya karena tak puas dengan transaksi seksual. Kini ia diancam hukuman 15 tahun penjara."
https://news.detik.com/berita/d-6942291/produk-umkm-se-jabar-mejeng-di-bazar-kreasi-bhayangkari-nusantara-2023,Produk UMKM se-Jabar Mejeng di Bazar Kreasi Bhayangkari Nusantara 2023,2023-09-21 02:17:00,Pengurus Daerah (PD) Bhayangkari Polda Jawa Barat ikut ambil bagian dalam kegiatan 'Bazar Kreasi Bhayangkari Nusantara 2023' di JCC Senayan.
